factor,ICIR,positive_ic_ratio,is_timeseries,stability_score
f_g_us10y_vol_norm,,,False,
f_g_us10y_raw_x_volnorm,,,False,
f_g_t_trading_days_to_month_end_vol_norm,0.05958375079045446,0.5212418300653595,False,0.031057543304174793
f_g_t_trading_days_to_month_end_raw_x_volnorm,0.07142251226405312,0.526829268292683,False,0.03762746987569628
f_g_t_days_to_month_end_vol_norm,0.007633805196491924,0.5058430717863105,False,0.0038615074700117744
f_g_t_days_to_month_end_raw_x_volnorm,0.037126625743842685,0.5189873417721519,False,0.019268248803766458
f_g_t_season_autumn_vol_norm,,,False,
f_g_t_season_spring_vol_norm,,,False,
f_g_t_trading_week_bucket_vol_norm,0.06669929068598177,0.5307262569832403,False,0.0353990648892082
f_g_t_trading_week_bucket_raw_x_volnorm,-0.005878587351370064,0.5346153846153846,False,0.003142783237847842
f_g_t_days_from_month_start_vol_norm,-0.03252999952009724,0.5056689342403629,False,0.016449410188167087
f_g_t_days_from_month_start_raw_x_volnorm,-0.005304423473475085,0.5208333333333334,False,0.002762720559101607
f_g_t_is_post_cny_vol_norm,,,False,
f_g_vix_vol_norm,,,False,
f_g_env_weight_vol_norm,-0.029292384587778587,0.4797187669010276,False,0.01405210661403981
f_g_env_weight_raw_x_volnorm,-0.03599688972557102,0.4770146024878313,False,0.017171042043241557
f_g_mfi_index_raw_x_volnorm,0.018981423784959445,0.5171215880893301,False,0.00981570401187481
f_农产品_t_season_winter_div_wti,,,False,
f_农产品_wti_logx_dxy,,,False,
f_农产品_wti_x_us10y,,,False,
f_农产品_wti_x_t_trading_days_to_month_end,,,False,
f_农产品_dxy_sq,,,False,
f_农产品_dxy_x_t_is_pre_cny,,,False,
f_农产品_dxy_div_t_is_pre_cny,,,False,
f_农产品_dxy_x_us10y,,,False,
f_农产品_us10y_sq,,,False,
f_农产品_wti_rank_x_wti_rank,,,False,
f_农产品_wti_rank_x_t_trading_week_bucket_rank,,,False,
f_农产品_wti_rank_x_env_weight_rank,-0.05708870320292971,0.4753921038399135,False,0.02713951872113316
f_农产品_wti_rank_x_mfi_index_rank,0.0011980201685500445,0.5022332506203474,False,0.0006016855635596253
f_农产品_wti_rank_x_hurst_value_rank,-0.056657955801268325,0.47485743908761013,False,0.02690445179572928
f_农产品_wti_rank_x_ma10_rank,-0.08749726404515501,0.4596334819217434,False,0.04021667213170076
f_农产品_wti_rank_x_hurst_strength_rank,0.03531873540789138,0.5085536547433903,False,0.017961471972597946
f_农产品_wti_rank_x_kc_breakout_rank,-0.09270104216191284,0.42896935933147634,False,0.039765906665555927
f_农产品_wti_rank_x_pv_oi_efficiency_rank,0.08645775961319549,0.5348492338111716,False,0.04624186648614806
f_农产品_wti_rank_x_kc_squeeze_rank,-0.07766591729539166,0.4596879063719116,False,0.03570208291797263
f_农产品_wti_rank_x_vol_wsr_rank,0.059626485345158596,0.514792899408284,False,0.03069529127235975
f_农产品_env_weight_rank_x_mfi_index_rank,-0.05564775239978278,0.46511627906976744,False,0.025882675534782688
f_农产品_env_weight_rank_x_hurst_value_rank,-0.05117059495613968,0.476473769605192,False,0.024381446271692298
f_农产品_env_weight_rank_x_pv_wad_rank,-0.05298884307743557,0.46619794483504595,False,0.024703289741887215
f_农产品_env_weight_rank_x_ma10_rank,-0.10687335656818076,0.4564629529475392,False,0.04878372793052707
f_农产品_env_weight_rank_x_hurst_strength_rank,-0.017430402508824907,0.4926987560843699,False,0.008587937634147912
f_农产品_env_weight_rank_x_kc_breakout_rank,-0.11370928669021779,0.4705246078961601,False,0.05350301753406678
f_农产品_env_weight_rank_x_pv_oi_efficiency_rank,0.038884387232037264,0.5181179015684153,False,0.020146697116436827
f_农产品_env_weight_rank_x_kc_squeeze_rank,-0.06909132345324392,0.46782044348296375,False,0.03232233357872147
f_农产品_wti_vol_norm,,,False,
f_农产品_wti_raw_x_volnorm,,,False,
f_农产品_t_is_pre_cny_vol_norm,,,False,
f_农产品_us10y_vol_norm,,,False,
f_农产品_t_trading_days_to_month_end_vol_norm,0.020413711915742896,0.5115452930728241,False,0.010442538244642903
f_农产品_t_trading_days_to_month_end_raw_x_volnorm,0.05744078189405982,0.5172413793103449,False,0.029710749255548185
f_农产品_t_days_to_month_end_vol_norm,0.0006305466121154672,0.4991394148020654,False,0.00031473066697673924
f_农产品_t_days_to_month_end_raw_x_volnorm,0.0675098124326569,0.5285714285714286,False,0.035683758000118644
f_农产品_t_trading_week_bucket_vol_norm,0.002055266879947304,0.49494348602022603,False,0.0010172409542630319
f_农产品_t_trading_week_bucket_raw_x_volnorm,0.03889398908556015,0.5093896713615024,False,0.019812196318231348
f_农产品_t_days_from_month_start_vol_norm,0.005163858350167991,0.4913728432108027,False,0.0025373797594598906
f_农产品_t_days_from_month_start_raw_x_volnorm,0.036957923859430156,0.5241935483870968,False,0.01937310524889484
f_农产品_t_is_post_cny_vol_norm,,,False,
f_农产品_vix_vol_norm,-0.02906046644835251,0.5017301038062284,False,0.014580510847789323
f_农产品_env_weight_vol_norm,-0.08409876535123142,0.4719956498096792,False,0.03969425140014621
f_农产品_env_weight_raw_x_volnorm,-0.07972682248117044,0.4685807150595883,False,0.03735845148765571
f_农产品_hurst_value_vol_norm,-0.06068536887789107,0.4667705088265836,False,0.028326140509462135
f_农产品_hurst_value_raw_x_volnorm,-0.1163715862328348,0.4480789200415369,False,0.052143654682729204
f_农产品_t_is_roll_window_vol_norm,0.019569048543092774,0.5446428571428571,False,0.010658142510077314
f_化工_t_season_winter_div_wti,,,False,
f_化工_wti_logx_dxy,,,False,
f_化工_wti_x_us10y,,,False,
f_化工_wti_x_t_trading_days_to_month_end,,,False,
f_化工_dxy_sq,,,False,
f_化工_dxy_x_t_is_pre_cny,,,False,
